Regime;;AnnReturn;AnnVol;Sharpe
Disinflationary Expansion;Gold;0.014467239039618007;0.14666244747693458;0.09864310386537939
Disinflationary Expansion;S&P 500;0.14479224923522083;0.12950473243044797;1.118046008959427
Disinflationary Expansion;US 10YR TR (approx);0.05694931068738464;0.09360694249048718;0.6083876812146932
Disinflationary Expansion;USD Index Spot Rate;-0.019366746123524778;0.07689907628411481;-0.25184627773643886
High Inflation / Slowing Growth;Gold;0.15110626061156693;0.2343286339289544;0.6448476145573422
High Inflation / Slowing Growth;S&P 500;0.034268917132469406;0.1541851744300194;0.22225818571177328
High Inflation / Slowing Growth;US 10YR TR (approx);0.032951802012587364;0.0989445505696705;0.3330330151874791
High Inflation / Slowing Growth;USD Index Spot Rate;-0.011347590369800393;0.0796762735619885;-0.1424211984634537
Neutral/Transition;Gold;0.045043195171963354;0.16293948941790373;0.27644124412614013
Neutral/Transition;S&P 500;0.09117333274341359;0.11876165286929083;0.767700099658928
Neutral/Transition;US 10YR TR (approx);0.05664438545745452;0.09122852566741647;0.6209065097024344
Neutral/Transition;USD Index Spot Rate;0.07179972550018268;0.0864031479028326;0.8309850652771047
Recessionary Pressure;Gold;0.10350396061379656;0.2010703840746459;0.5147648227268093
Recessionary Pressure;S&P 500;0.12611022442463166;0.1786629384265264;0.7058555374454082
Recessionary Pressure;US 10YR TR (approx);0.10382226064375692;0.10092497213930134;1.0287073500546189
Recessionary Pressure;USD Index Spot Rate;0.0015235181258402494;0.09090500961156639;0.01675945178764277
Reflation / Overheating;Gold;0.12193767669688638;0.17306487324199152;0.7045778522969506
Reflation / Overheating;S&P 500;0.03659894248482459;0.14627483513600933;0.2502066910606609
Reflation / Overheating;US 10YR TR (approx);0.06916111496584618;0.08259191893693218;0.8373835582953113
Reflation / Overheating;USD Index Spot Rate;0.0052368218149074705;0.08471119998456955;0.06181970997768154
